Type,Index,Price,Shares
buy,26,6.546203136444092,1527.0
take_profit,30,7.213840961456299,1527.0
buy,30,7.213840961456299,1400.0
stop_loss,35,6.80285120010376,1400.0
buy,88,7.783822536468506,1290.0
take_profit,94,8.718128204345703,1290.0
buy,118,9.496110916137695,1070.0
take_profit,130,10.475199699401855,1070.0
buy,147,10.97484016418457,935.0
take_profit,157,12.297320365905762,935.0
buy,157,12.297320365905762,845.0
take_profit,168,13.780672073364258,845.0
buy,168,13.780672073364258,763.0
stop_loss,170,12.977520942687988,763.0
buy,189,13.574774742126465,770.0
stop_loss,208,12.590156555175781,770.0
buy,265,13.831122398376465,750.0
stop_loss,269,12.88386058807373,750.0
buy,277,14.400873184204102,715.0
stop_loss,289,13.272590637207031,715.0
buy,314,13.780272483825684,742.0
take_profit,320,15.174339294433594,742.0
buy,320,15.174339294433594,680.0
stop_loss,336,14.31854248046875,680.0
buy,354,16.207475662231445,633.0
take_profit,364,17.981807708740234,633.0
buy,374,19.94402313232422,520.0
stop_loss,386,18.92736053466797,520.0
buy,412,20.7733211517334,497.0
sell,432,21.073427200317383,497.0
buy,458,24.670669555664062,419.0
take_profit,465,29.74514389038086,419.0
buy,465,29.74514389038086,355.0
take_profit,476,32.92316818237305,355.0
buy,557,26.411148071289062,404.0
stop_loss,570,24.368385314941406,404.0
buy,609,19.560998916625977,541.0
stop_loss,614,18.023256301879883,541.0
buy,641,17.7825870513916,590.0
stop_loss,645,16.510332107543945,590.0
buy,721,15.733078956604004,663.0
take_profit,742,17.52064323425293,663.0
buy,743,18.057207107543945,584.0
stop_loss,745,16.93811798095703,584.0
buy,765,17.6875057220459,592.0
stop_loss,767,16.75127410888672,592.0
buy,769,19.177289962768555,543.0
take_profit,777,21.691225051879883,543.0
buy,806,25.524423599243164,414.0
take_profit,837,28.891237258911133,414.0
buy,837,28.891237258911133,370.0
take_profit,855,37.95534896850586,370.0
buy,855,37.95534896850586,290.0
take_profit,868,42.973541259765625,290.0
buy,887,45.95191955566406,243.0
stop_loss,906,42.53078079223633,243.0
buy,920,48.757381439208984,227.0
stop_loss,926,46.219573974609375,227.0
buy,1010,52.23338317871094,211.0
take_profit,1018,59.46866989135742,211.0
buy,1018,59.46866989135742,188.0
take_profit,1028,66.13516998291016,188.0
buy,1029,69.30597686767578,163.0
take_profit,1041,78.50851440429688,163.0
buy,1041,78.50851440429688,146.0
take_profit,1050,88.67086029052734,146.0
buy,1050,88.67086029052734,131.0
stop_loss,1079,84.00739288330078,131.0
buy,1105,103.76490783691406,111.0
take_profit,1108,114.78727722167969,111.0
buy,1164,129.9679718017578,89.0
stop_loss,1172,117.56102752685547,89.0
buy,1199,132.86862182617188,87.0
take_profit,1221,148.85606384277344,87.0
buy,1221,148.85606384277344,78.0
stop_loss,1228,140.12744140625,78.0
